127.0.0.1 - - [10/Sep/2017:20:21:10 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [10/Sep/2017:20:21:24 +0800] "POST /vueTest/login.action HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [10/Sep/2017:20:21:43 +0800] "GET /vueTest/test.action HTTP/1.1" 200 8803
0:0:0:0:0:0:0:1 - - [10/Sep/2017:20:22:11 +0800] "GET /vueTest/print.action HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [10/Sep/2017:20:22:17 +0800] "GET /vueTest/print2.action HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [10/Sep/2017:20:22:24 +0800] "POST /vueTest/login.action HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [10/Sep/2017:20:27:05 +0800] "GET /vueTest/print3.action HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [10/Sep/2017:20:55:13 +0800] "POST /vueTest/login.action HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [10/Sep/2017:20:57:17 +0800] "GET /vueTest/login.action HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [10/Sep/2017:20:57:26 +0800] "POST /vueTest/login.action HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [10/Sep/2017:20:58:16 +0800] "POST /vueTest/login.action HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [10/Sep/2017:20:58:51 +0800] "GET /vueTest/ HTTP/1.1" 200 8803
0:0:0:0:0:0:0:1 - - [10/Sep/2017:20:58:51 +0800] "GET /vueTest/js/vue-developmentMode.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2017:20:58:51 +0800] "GET /vueTest/js/lodash.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2017:20:58:51 +0800] "GET /vueTest/js/Velocity.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2017:20:58:51 +0800] "GET /vueTest/js/jQuery-v3.2.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2017:20:58:51 +0800] "GET /vueTest/js/axios-v0.16.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2017:20:58:51 +0800] "GET /vueTest/js/tween.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2017:20:58:51 +0800] "GET /vueTest/js/TweenMax.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2017:20:58:52 +0800] "GET /vueTest/js/axios.min.map HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [10/Sep/2017:20:59:07 +0800] "POST /vueTest/print.action HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [10/Sep/2017:20:59:22 +0800] "POST /vueTest/login.action HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [10/Sep/2017:20:59:24 +0800] "POST /vueTest/login.action HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [10/Sep/2017:20:59:31 +0800] "GET /vueTest/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2017:20:59:31 +0800] "GET /vueTest/js/axios.min.map HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [10/Sep/2017:20:59:32 +0800] "POST /vueTest/print.action HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [10/Sep/2017:20:59:35 +0800] "POST /vueTest/login.action HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [10/Sep/2017:21:05:06 +0800] "GET /vueTest/ HTTP/1.1" 200 8801
0:0:0:0:0:0:0:1 - - [10/Sep/2017:21:05:07 +0800] "GET /vueTest/js/axios.min.map HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [10/Sep/2017:21:06:16 +0800] "GET /vueTest/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2017:21:06:16 +0800] "GET /vueTest/js/Velocity.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2017:21:06:16 +0800] "GET /vueTest/js/vue-developmentMode.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2017:21:06:16 +0800] "GET /vueTest/js/lodash.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2017:21:06:16 +0800] "GET /vueTest/js/jQuery-v3.2.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2017:21:06:16 +0800] "GET /vueTest/js/axios-v0.16.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2017:21:06:16 +0800] "GET /vueTest/js/tween.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2017:21:06:16 +0800] "GET /vueTest/js/TweenMax.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2017:21:06:17 +0800] "GET /vueTest/js/axios.min.map HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [10/Sep/2017:21:06:18 +0800] "POST /vueTest/print.action HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [10/Sep/2017:21:06:30 +0800] "GET /vueTest/ HTTP/1.1" 200 8800
0:0:0:0:0:0:0:1 - - [10/Sep/2017:21:06:30 +0800] "GET /vueTest/js/vue-developmentMode.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2017:21:06:30 +0800] "GET /vueTest/js/lodash.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2017:21:06:30 +0800] "GET /vueTest/js/Velocity.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2017:21:06:30 +0800] "GET /vueTest/js/jQuery-v3.2.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2017:21:06:30 +0800] "GET /vueTest/js/axios-v0.16.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2017:21:06:30 +0800] "GET /vueTest/js/tween.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2017:21:06:30 +0800] "GET /vueTest/js/TweenMax.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Sep/2017:21:06:30 +0800] "GET /vueTest/js/axios.min.map HTTP/1.1" 404 1042
